GeneID,locus,avg mIFOR,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
LOC102035109,NW_005054307.1:7231219-7241653,110,91,6.7,0.3,0.3,0.43,0.95,no,2,0,0
LOC102040535,NW_005054299.1:15446804-15467135,16,16,4.0,0.0,0.0,0.97,1.00,no,2,0,0
STK24,NW_005054363.1:2155107-2194670,11,7,3.2,0.7,0.7,0.37,0.93,no,1,0,0
AEBP1,NW_005054674.1:97576-104032,26,22,4.6,0.2,0.2,0.68,0.98,no,2,0,0
CABP1,NW_005054330.1:6292122-6314771,4,3,1.8,0.1,0.1,0.88,1.00,no,0,0,0
THNSL2,NW_005054479.1:284019-292253,8,9,3.1,-0.2,0.2,0.78,0.99,no,0,0,0
HMGCS2,NW_005054421.1:1013564-1016863,0,0,-3.3,0.0,0.0,0.70,NA,no,0,0,0
LOC102037219,NW_005054376.1:11149-13050,50,46,5.6,0.1,0.1,0.69,0.98,no,2,0,0
LOC115948073,NW_005054345.1:3960817-3962698,3,1,1.0,1.3,1.3,0.23,0.86,no,0,1,0
CFAP77,NW_005054329.1:4057733-4104014,2,1,0.6,1.3,1.3,0.29,0.90,no,0,1,0
INTU,NW_005054527.1:468722-509234,4,2,1.6,0.8,0.8,0.39,0.94,no,0,0,0
LOC102035514,NW_005054342.1:4287370-4298434,185,305,7.9,-0.7,0.7,0.11,0.75,no,2,0,0
LOC115948640,NW_005054456.1:1025144-1029341,106,94,6.6,0.2,0.2,0.76,0.99,no,2,0,0
RAD51B,NW_005054301.1:15979419-16373824,9,15,3.6,-0.7,0.7,0.09,0.71,no,1,0,0
SLCO4C1,NW_005054607.1:387204-414674,51,23,5.2,1.2,1.2,0.02,0.44,no,2,1,0
ATP10D,NW_005054297.1:12175701-12212796,12,6,3.2,1.0,1.0,0.14,0.78,no,1,1,0
CES2,NW_005054445.1:1736592-1746882,20,14,4.1,0.5,0.5,0.19,0.83,no,2,0,0
LOC115949234,NW_005055162.1:16820-19667,6,9,2.9,-0.6,0.6,0.29,0.90,no,0,0,0
MAMDC2,NW_005054635.1:236595-270262,2,1,0.6,0.9,0.9,0.45,0.95,no,0,0,0
NEMF,NW_005054303.1:15056792-15077525,5259,4293,12.2,0.3,0.3,0.53,0.97,no,2,0,0
PLEKHG4,NW_005054343.1:3460058-3541637,9,6,2.9,0.6,0.6,0.44,0.95,no,0,0,0
SLC38A6,NW_005054303.1:11039161-11076248,20,14,4.1,0.5,0.5,0.36,0.93,no,2,0,0
TC2N,NW_005054303.1:564776-593263,41,25,5.0,0.7,0.7,0.16,0.81,no,2,0,0
DIP2C,NW_005054422.1:111191-258750,9,4,2.7,1.3,1.3,0.03,0.52,no,0,1,0
MAPK11,NW_005054324.1:5891022-5912824,1,2,0.6,-0.2,0.2,0.87,1.00,no,0,0,0
IFT57,NW_005054391.1:2848804-2862811,562,574,9.1,0.0,0.0,0.93,1.00,no,2,0,0
LOC102039044,NW_005054655.1:20038-25462,1,1,0.0,-0.7,0.7,0.56,0.98,no,0,0,0
TRNAT-UGU-2,NW_005054301.1:562285-562357,0,1,-1.0,-1.3,1.3,0.54,0.97,no,0,1,0
PTGR2,NW_005054301.1:18910620-18924523,14,11,3.6,0.4,0.4,0.50,0.96,no,2,0,0
LOC115948222,NW_005054362.1:3089238-3090924,116,117,6.9,0.0,0.0,0.98,1.00,no,2,0,0
NPR2,NW_005054726.1:30625-42375,3,3,1.6,-0.3,0.3,0.66,0.98,no,0,0,0
USPL1,NW_005054412.1:2424573-2440140,202,175,7.6,0.2,0.2,0.54,0.97,no,2,0,0
MVK,NW_005054362.1:4129681-4140399,45,30,5.2,0.6,0.6,0.11,0.74,no,2,0,0
SLC24A4,NW_005054303.1:798277-882299,43,23,5.0,0.9,0.9,0.13,0.77,no,2,0,0
SLF1,NW_005054352.1:2758850-2791279,24,16,4.3,0.6,0.6,0.25,0.87,no,2,0,0
LOC102032124,NW_005054398.1:1738452-1742140,1,1,0.0,0.0,0.0,0.98,1.00,no,0,0,0
LOC102044744,NW_005054366.1:1353017-1356111,0,0,-3.3,0.0,0.0,0.70,NA,no,0,0,0
LOC115948404,NW_005054390.1:410453-416552,3,3,1.6,0.1,0.1,0.93,1.00,no,0,0,0
CUNH22orf23,NW_005054334.1:3224389-3226952,62,74,6.1,-0.3,0.3,0.63,0.98,no,2,0,0
CRTAP,NW_005054364.1:2019185-2040134,11,14,3.6,-0.3,0.3,0.51,0.96,no,2,0,0
RAD52,NW_005054326.1:658220-669575,6,10,3.0,-0.8,0.8,0.23,0.86,no,1,0,0
LOC102034464,NW_005054368.1:1015055-1021999,27,28,4.8,-0.1,0.1,0.91,1.00,no,2,0,0
FKBP11,NW_005054605.1:224497-225179,18,12,3.9,0.6,0.6,0.26,0.88,no,2,0,0
LOC102038940,NW_005055130.1:170-5334,47,80,6.0,-0.8,0.8,0.03,0.53,no,2,0,0
LOC115949321,NW_005055782.1:1131-6247,34,18,4.7,0.9,0.9,0.09,0.71,no,2,0,0
F2,NW_005054312.1:2803304-2813083,2,2,1.0,-0.3,0.3,0.80,0.99,no,0,0,0
LOC115949118,NW_005054772.1:67024-69527,5,12,3.1,-1.3,1.3,0.08,0.69,no,1,1,0
PSTPIP2,NW_005054365.1:1847311-1871744,334,176,8.0,0.9,0.9,0.05,0.62,no,2,0,0
SPTBN4,NW_005055275.1:538-14650,4,4,2.0,-0.2,0.2,0.85,0.99,no,0,0,0
TRIP13,NW_005054325.1:284429-297951,3,2,1.3,0.4,0.4,0.61,0.98,no,0,0,0
BLK,NW_005054377.1:2431252-2467692,40,42,5.4,-0.1,0.1,0.88,1.00,no,2,0,0
FANCA,NW_005054373.1:2608656-2646054,7,7,2.8,-0.2,0.2,0.73,0.98,no,0,0,0
LOC102045498,NW_005055706.1:953-2568,4,5,2.2,-0.3,0.3,0.74,0.99,no,0,0,0
NOXA1,NW_005054358.1:705261-718863,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
LOC102043504,NW_005054570.1:255612-268798,186,206,7.6,-0.1,0.1,0.84,0.99,no,2,0,0
MTA3,NW_005054299.1:6244542-6384507,6,3,2.2,1.1,1.1,0.21,0.85,no,0,1,0
NET1,NW_005054430.1:1671082-1731678,127,51,6.5,1.3,1.3,0.01,0.34,no,2,1,0
TSHZ2,NW_005054356.1:3017542-3025060,8,3,2.5,1.2,1.2,0.08,0.68,no,0,1,0
LOC102042152,NW_005054441.1:1375957-1381291,173,211,7.6,-0.3,0.3,0.43,0.95,no,2,0,0
NME7,NW_005054320.1:2014167-2102985,12,12,3.6,0.1,0.1,0.89,1.00,no,2,0,0
PKDREJ,NW_005054326.1:2423555-2429695,1,1,0.0,0.1,0.1,0.93,1.00,no,0,0,0
LOC115948148,NW_005054352.1:873929-880153,5,10,2.9,-0.9,0.9,0.08,0.69,no,1,0,0
PLP1,NW_005054314.1:8149978-8156977,10,15,3.6,-0.7,0.7,0.13,0.78,no,2,0,0
ANLN,NW_005054497.1:568100-590654,5,3,2.0,0.8,0.8,0.27,0.89,no,0,0,0
GPR17,NW_005054609.1:15930-22686,4,3,1.8,0.8,0.8,0.39,0.94,no,0,0,0
LOC115949412,NW_005058609.1:1464-1536,3,5,2.0,-0.8,0.8,0.32,0.91,no,0,0,0
ZDHHC21,NW_005054323.1:5899500-5937008,59,47,5.7,0.3,0.3,0.48,0.96,no,2,0,0
P2RY13,NW_005054309.1:11719554-11721249,8,6,2.8,0.5,0.5,0.47,0.96,no,0,0,0
CRACR2B,NW_005054312.1:8914222-8939458,5,12,3.1,-1.3,1.3,0.02,0.44,no,1,1,0
LOC102044657,NW_005054483.1:541852-552913,9,5,2.8,0.7,0.7,0.26,0.89,no,0,0,0
METTL22,NW_005054319.1:8374174-8383431,18,16,4.1,0.2,0.2,0.71,0.98,no,2,0,0
LOC102031647,NW_005058224.1:955-1798,10,9,3.2,0.0,0.0,0.96,1.00,no,1,0,0
LOC102034562,NW_005054315.1:7297961-7310072,28,20,4.6,0.5,0.5,0.38,0.93,no,2,0,0
PARP3,NW_005054339.1:3016755-3020571,4,5,2.2,-0.5,0.5,0.58,0.98,no,0,0,0
PEX11A,NW_005054313.1:1100312-1106742,1,2,0.6,-0.7,0.7,0.56,0.98,no,0,0,0
LOC115949432,NW_005060235.1:379-1122,8,5,2.7,0.5,0.5,0.42,0.95,no,0,0,0
CBX4,NW_005054612.1:40735-49958,47,70,5.9,-0.6,0.6,0.29,0.90,no,2,0,0
LOC102041321,NW_005054559.1:452525-456380,51,89,6.1,-0.8,0.8,0.02,0.46,no,2,0,0
SMYD2,NW_005054299.1:3326954-3352583,6,5,2.5,0.2,0.2,0.85,1.00,no,0,0,0
LOC102036398,NW_005055097.1:862-19969,18,20,4.2,-0.2,0.2,0.77,0.99,no,2,0,0
NRN1,NW_005054376.1:1158805-1167326,5,7,2.6,-0.3,0.3,0.56,0.97,no,0,0,0
LOC102041632,NW_005054355.1:3593472-3600582,30,15,4.5,0.9,0.9,0.07,0.65,no,2,0,0
LOC106632128,NW_005054921.1:9236-11903,126,311,7.8,-1.3,1.3,0.00,0.08,no,2,1,0
LOC115949244,NW_005055218.1:9303-13698,16,22,4.2,-0.4,0.4,0.34,0.92,no,2,0,0
PARP1,NW_005054434.1:886636-914270,264,237,8.0,0.2,0.2,0.71,0.98,no,2,0,0
POU1F1,NW_005054338.1:3627510-3637084,1,1,0.0,-0.8,0.8,0.54,0.97,no,0,0,0
CPS1,NW_005054463.1:214025-304996,26,50,5.2,-0.9,0.9,0.09,0.71,no,2,0,0
LOC102044316,NW_005054474.1:962790-979221,4,8,2.6,-0.8,0.8,0.29,0.90,no,0,0,0
CENPS,NW_005054450.1:1260265-1262389,15,11,3.7,0.4,0.4,0.33,0.91,no,2,0,0
LGI2,NW_005054297.1:4970529-4989875,5,5,2.3,-0.1,0.1,0.92,1.00,no,0,0,0
CRLF2,NW_005054342.1:3452034-3465275,4,5,2.2,-0.4,0.4,0.69,0.98,no,0,0,0
LOC102031816,NW_005054300.1:18617087-18624979,32,19,4.7,0.8,0.8,0.19,0.83,no,2,0,0
RAI1,NW_005054399.1:388262-421793,34,15,4.6,1.1,1.1,0.03,0.48,no,2,1,0
WASF1,NW_005054306.1:3622753-3661699,1,1,0.0,0.1,0.1,0.95,1.00,no,0,0,0
BCL11A,NW_005054341.1:2424354-2494957,118,133,7.0,-0.2,0.2,0.74,0.99,no,2,0,0
LOC115948751,NW_005054504.1:456282-459102,2,1,0.6,0.3,0.3,0.84,0.99,no,0,0,0
MCM3,NW_005054377.1:2040307-2051778,44,39,5.4,0.2,0.2,0.77,0.99,no,2,0,0
SCAMP5,NW_005054313.1:10070396-10077979,12,10,3.5,0.3,0.3,0.51,0.96,no,2,0,0
LOC115948110,NW_005054347.1:2919478-2919581,6,5,2.5,0.1,0.1,0.94,1.00,no,0,0,0
LOC115949430,NW_005059998.1:42-1338,9,21,3.9,-1.2,1.2,0.02,0.47,no,1,1,0
BOP1,NW_005054905.1:4735-15931,20,23,4.4,-0.2,0.2,0.71,0.98,no,2,0,0
NCAPG2,NW_005054424.1:355147-402832,12,10,3.5,0.3,0.3,0.69,0.98,no,2,0,0
SESTD1,NW_005054298.1:21374260-21422239,67,27,5.6,1.3,1.3,0.00,0.17,no,2,1,0
LOC115949455,NW_005063264.1:43-844,1,3,1.0,-1.3,1.3,0.19,0.83,no,0,1,0
NKIRAS1,NW_005054351.1:1228670-1243272,20,13,4.0,0.6,0.6,0.21,0.85,no,2,0,0
LOC102031685,NW_005054515.1:298396-314487,3,5,2.0,-0.7,0.7,0.40,0.94,no,0,0,0
LRRC49,NW_005054313.1:7712376-7749116,5,2,1.8,1.2,1.2,0.15,0.79,no,0,1,0
RAB11FIP4,NW_005054395.1:1611747-1685543,174,118,7.2,0.6,0.6,0.20,0.84,no,2,0,0
LOC102037850,NW_005054535.1:831206-842942,7,7,2.8,0.0,0.0,0.99,1.00,no,0,0,0
PCCA,NW_005054363.1:2927074-3129071,32,23,4.8,0.5,0.5,0.37,0.93,no,2,0,0
LOC102038910,NW_005054358.1:284375-286945,30,26,4.8,0.2,0.2,0.70,0.98,no,2,0,0
LOC102043339,NW_005055603.1:1800-7994,1,1,0.0,-0.1,0.1,0.93,1.00,no,0,0,0
SELENOM,NW_005054448.1:1612893-1613812,17,10,3.8,0.8,0.8,0.17,0.81,no,2,0,0
SKA3,NW_005054302.1:3305182-3316032,26,57,5.4,-1.1,1.1,0.00,0.23,no,2,1,0
HLF,NW_005054395.1:1082976-1117859,11,7,3.2,0.7,0.7,0.25,0.88,no,1,0,0
MSANTD1,NW_005054372.1:1234742-1291780,1,2,0.6,-0.7,0.7,0.56,0.98,no,0,0,0
TSPAN4,NW_005054312.1:9013191-9411802,29,17,4.5,0.8,0.8,0.22,0.85,no,2,0,0
CAP2,NW_005054325.1:6263107-6332897,18,14,4.0,0.3,0.3,0.46,0.96,no,2,0,0
LOC102040101,NW_005054337.1:3491175-3508129,236,135,7.5,0.8,0.8,0.13,0.78,no,2,0,0
PCDH1,NW_005054532.1:538352-594879,1,1,0.0,0.3,0.3,0.85,1.00,no,0,0,0
LOC115947790,NW_005054315.1:7700010-7700121,2,2,1.0,0.6,0.6,0.59,0.98,no,0,0,0
IP6K3,NW_005054512.1:602497-614198,8,10,3.2,-0.3,0.3,0.54,0.97,no,1,0,0
LOC115947831,NW_005054320.1:7774269-7774591,18,18,4.2,-0.1,0.1,0.93,1.00,no,2,0,0
MCRIP2,NW_005054383.1:1087106-1091850,11,15,3.7,-0.5,0.5,0.49,0.96,no,2,0,0
PLCH2,NW_005054449.1:908636-975561,1,0,-1.0,0.6,0.6,0.74,0.99,no,0,0,0
RACGAP1,NW_005054600.1:296127-304301,14,8,3.5,0.7,0.7,0.18,0.81,no,1,0,0
DOCK5,NW_005054514.1:443505-522351,58,25,5.4,1.2,1.2,0.05,0.60,no,2,1,0
KNL1,NW_005054416.1:1251067-1272229,227,250,7.9,-0.1,0.1,0.66,0.98,no,2,0,0
LOC106631938,NW_005054409.1:2296722-2298551,4,6,2.3,-0.5,0.5,0.49,0.96,no,0,0,0
LOC115948883,NW_005054594.1:478651-483732,18,19,4.2,0.0,0.0,0.93,1.00,no,2,0,0
CLYBL,NW_005054363.1:2635615-2767652,9,6,2.9,0.6,0.6,0.35,0.92,no,0,0,0
CNR2,NW_005054436.1:1203457-1204526,36,20,4.8,0.8,0.8,0.10,0.73,no,2,0,0
LRRC70,NW_005054335.1:347116-349718,16,14,3.9,0.3,0.3,0.53,0.97,no,2,0,0
MZB1,NW_005054532.1:115365-115953,44,32,5.2,0.4,0.4,0.50,0.96,no,2,0,0
PIK3R6,NW_005054457.1:1018406-1030324,174,154,7.4,0.2,0.2,0.62,0.98,no,2,0,0
PRKN,NW_005054299.1:18768613-19320992,10,8,3.2,0.3,0.3,0.57,0.98,no,1,0,0
NSDHL,NW_005054504.1:162930-173276,19,22,4.4,-0.2,0.2,0.77,0.99,no,2,0,0
QPCT,NW_005054299.1:15708054-15716437,120,94,6.7,0.4,0.4,0.40,0.94,no,2,0,0
DGKH,NW_005054322.1:1727664-1794651,26,25,4.7,0.1,0.1,0.90,1.00,no,2,0,0
LOC115949148,NW_005054816.1:36914-40075,2,1,0.6,0.9,0.9,0.48,0.96,no,0,0,0
ARL2BP,NW_005054343.1:4041764-4050353,15,19,4.1,-0.4,0.4,0.29,0.90,no,2,0,0
DDC,NW_005054464.1:575321-627525,38,26,5.0,0.6,0.6,0.07,0.66,no,2,0,0
KLF4,NW_005054468.1:865623-868729,76,37,5.8,1.0,1.0,0.06,0.62,no,2,1,0
LOC115949485,NW_005054302.1:10289597-10289735,1,1,0.0,-0.2,0.2,0.89,1.00,no,0,0,0
TIMM21,NW_005054311.1:10301449-10311674,15,11,3.7,0.5,0.5,0.32,0.91,no,2,0,0
UBASH3A,NW_005054438.1:1182072-1204111,98,79,6.5,0.3,0.3,0.54,0.97,no,2,0,0
SHMT1,NW_005054399.1:636868-641622,9,12,3.4,-0.5,0.5,0.34,0.92,no,1,0,0
LOC102037283,NW_005054428.1:75844-77190,2,4,1.6,-1.1,1.1,0.18,0.82,no,0,1,0
LOC102044091,NW_005054504.1:10867-21832,2,1,0.6,0.9,0.9,0.34,0.92,no,0,0,0
LY86,NW_005054376.1:1353642-1379877,2625,1566,11.0,0.7,0.7,0.10,0.72,no,2,0,0
CARF,NW_005054298.1:24508973-24538742,16,9,3.6,0.8,0.8,0.27,0.89,no,1,0,0
CPPED1,NW_005054319.1:6303157-6343385,34,36,5.1,-0.1,0.1,0.87,1.00,no,2,0,0
GAL3ST1,NW_005054448.1:393090-399605,14,23,4.2,-0.8,0.8,0.16,0.81,no,2,0,0
IL18R1,NW_005054315.1:7229418-7249298,14,12,3.7,0.3,0.3,0.66,0.98,no,2,0,0
LOC115947927,NW_005054331.1:6607900-6608295,0,1,-1.0,-1.0,1.0,0.62,NA,no,0,1,0
ABLIM3,NW_005054308.1:10906312-10920146,38,70,5.8,-0.9,0.9,0.41,0.94,no,2,0,0
GFPT2,NW_005054308.1:5133069-5149914,8,14,3.5,-0.8,0.8,0.29,0.90,no,1,0,0
LOC102043556,NW_005054299.1:18546921-18561825,1,1,0.0,1.3,1.3,0.38,0.94,no,0,1,0
TRAF3IP1,NW_005054586.1:101-14450,17,23,4.3,-0.5,0.5,0.36,0.93,no,2,0,0
LOC102035534,NW_005054441.1:1609475-1648723,35,40,5.2,-0.2,0.2,0.66,0.98,no,2,0,0
LOC115948442,NW_005054399.1:172327-178283,7,7,2.8,0.0,0.0,0.96,1.00,no,0,0,0
LOC115948483,NW_005054414.1:303686-306140,2,4,1.6,-1.0,1.0,0.27,0.89,no,0,1,0
VSIG4,NW_005054456.1:1014872-1021794,12,6,3.2,0.9,0.9,0.13,0.77,no,1,0,0
FAM155B,NW_005054456.1:119233-142922,9,4,2.7,0.9,0.9,0.22,0.85,no,0,0,0
RUFY4,NW_005054298.1:13670998-13677713,23,19,4.4,0.2,0.2,0.69,0.98,no,2,0,0
ZDHHC15,NW_005054617.1:240298-424419,24,20,4.5,0.3,0.3,0.58,0.98,no,2,0,0
CD14,NW_005054386.1:775735-778977,172,88,7.0,1.0,1.0,0.05,0.61,no,2,0,0
LOC102040077,NW_005054873.1:20923-30842,4,4,2.0,-0.1,0.1,0.90,1.00,no,0,0,0
LOC115949235,NW_005055180.1:18595-19052,10,7,3.1,0.5,0.5,0.49,0.96,no,1,0,0
KLHL29,NW_005054306.1:836978-908932,6,7,2.7,-0.1,0.1,0.90,1.00,no,0,0,0
LOC115948710,NW_005054483.1:323417-337961,4,9,2.7,-1.3,1.3,0.03,0.51,no,0,1,0
SWAP70,NW_005054416.1:368626-403856,623,628,9.3,0.0,0.0,0.98,1.00,no,2,0,0
ERG,NW_005054572.1:125202-231215,29,20,4.6,0.5,0.5,0.20,0.84,no,2,0,0
PCP4,NW_005054656.1:165634-201190,0,1,-1.0,-0.6,0.6,0.85,NA,no,0,0,0
PDE8A,NW_005054313.1:2942114-3081195,42,25,5.1,0.8,0.8,0.11,0.75,no,2,0,0
PID1,NW_005054371.1:2216673-2301800,9,10,3.2,0.0,0.0,0.94,1.00,no,1,0,0
LOC102035080,NW_005054471.1:604367-607353,0,0,-3.3,0.0,0.0,0.89,NA,no,0,0,0
FGF22,NW_005054491.1:478636-481177,103,248,7.5,-1.3,1.3,0.00,0.17,no,2,1,0
PGBD5,NW_005054348.1:4303670-4341035,0,0,-3.3,0.0,0.0,0.77,NA,no,0,0,0
LOC115947884,NW_005054298.1:10611880-10619591,16,10,3.7,0.6,0.6,0.29,0.90,no,2,0,0
TUSC3,NW_005054297.1:15464035-15571574,4,2,1.6,0.9,0.9,0.28,0.90,no,0,0,0
ASTN2,NW_005054358.1:3588743-3885892,28,11,4.3,1.3,1.3,0.09,0.71,no,2,1,0
GAB2,NW_005054302.1:16918779-16955774,48,25,5.2,1.0,1.0,0.07,0.65,no,2,0,0
LOC115949276,NW_005055348.1:1856-4194,2,2,1.0,-0.6,0.6,0.64,0.98,no,0,0,0
MAP3K9,NW_005054301.1:17539610-17593335,17,10,3.8,0.8,0.8,0.10,0.73,no,2,0,0
CCDC177,NW_005054301.1:16873266-16921681,0,0,-3.3,0.0,0.0,0.99,NA,no,0,0,0
CLMP,NW_005054510.1:542416-600529,0,0,-3.3,0.0,0.0,0.99,NA,no,0,0,0
FEV,NW_005054298.1:13989035-13994386,0,0,-3.3,0.0,0.0,0.99,NA,no,0,0,0
LOC102035592,NW_005054486.1:837093-871139,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
LOC102045537,NW_005054524.1:934290-942623,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
LOC115947662,NW_005054308.1:11638501-11639633,0,0,-3.3,0.0,0.0,0.99,NA,no,0,0,0
LOC115948744,NW_005054500.1:68180-71595,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
PODN,NW_005054345.1:1677632-1698306,8,5,2.7,0.5,0.5,0.38,0.94,no,0,0,0
LOC102033053,NW_005054350.1:930099-943350,3,2,1.3,0.6,0.6,0.59,0.98,no,0,0,0
LOC102033422,NW_005054307.1:10372929-10389682,124,85,6.7,0.5,0.5,0.18,0.82,no,2,0,0
LOC102034355,NW_005054416.1:1696128-1699215,4,8,2.6,-1.1,1.1,0.05,0.62,no,0,1,0
ADA2,NW_005054384.1:441133-462402,276,141,7.7,1.0,1.0,0.07,0.66,no,2,0,0
GJB1,NW_005054314.1:7778080-7780944,0,0,-3.3,0.0,0.0,0.97,1.00,no,0,0,0
TMLHE,NW_005054504.1:423947-434207,753,1264,10.0,-0.7,0.7,0.08,0.68,no,2,0,0
ARHGAP42,NW_005054302.1:7695346-7807960,12,10,3.5,0.2,0.2,0.69,0.98,no,2,0,0
BBS7,NW_005054435.1:875557-890276,102,92,6.6,0.1,0.1,0.77,0.99,no,2,0,0
LOC102037706,NW_005054309.1:3190740-3197486,24,25,4.6,-0.1,0.1,0.90,1.00,no,2,0,0
TMEM237,NW_005054298.1:25023063-25036651,40,26,5.0,0.7,0.7,0.15,0.79,no,2,0,0
VILL,NW_005054367.1:1145844-1185312,10,11,3.4,-0.2,0.2,0.82,0.99,no,2,0,0
AMOTL1,NW_005054302.1:9956172-10021839,11,10,3.4,0.1,0.1,0.88,1.00,no,2,0,0
ATP8B3,NW_005054441.1:489918-517115,2,3,1.3,-1.3,1.3,0.22,0.85,no,0,1,0
LOC102034544,NW_005054605.1:297974-300071,7,10,3.1,-0.5,0.5,0.37,0.93,no,1,0,0
LOC102036734,NW_005054673.1:192791-198599,2,3,1.3,-0.6,0.6,0.57,0.98,no,0,0,0
ANXA6,NW_005054308.1:6196849-6212657,1783,1428,10.6,0.3,0.3,0.34,0.92,no,2,0,0
LOC102032678,NW_005054396.1:634415-639933,0,1,-1.0,-1.2,1.2,0.59,NA,no,0,1,0
TNFSF10,NW_005054309.1:7414380-7422430,5,8,2.7,-0.5,0.5,0.45,0.95,no,0,0,0
FGGY,NW_005054345.1:3830063-3943980,14,10,3.6,0.5,0.5,0.45,0.95,no,2,0,0
PHKG1,NW_005054387.1:1641264-1646423,245,582,8.7,-1.3,1.3,0.00,0.11,no,2,1,0
LRBA,NW_005054304.1:1414431-1781110,60,62,5.9,-0.1,0.1,0.91,1.00,no,2,0,0
FAM83D,NW_005054337.1:5797644-5803861,3,4,1.8,-0.5,0.5,0.38,0.94,no,0,0,0
AS3MT,NW_005054300.1:4740945-4744803,5,5,2.3,0.0,0.0,0.99,1.00,no,0,0,0
LOC102036631,NW_005054312.1:1137954-1141340,168,184,7.5,-0.1,0.1,0.64,0.98,no,2,0,0
LOC115949294,NW_005055481.1:3034-3578,25,30,4.8,-0.3,0.3,0.58,0.98,no,2,0,0
LOC115949439,NW_005060922.1:217-652,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
RSPO2,NW_005054353.1:4584366-4632034,0,0,-3.3,0.0,0.0,1.00,NA,no,0,0,0
PIM3,NW_005054324.1:7076171-7080753,405,290,8.4,0.5,0.5,0.05,0.60,no,2,0,0
BPIFC,NW_005054334.1:998982-1013112,6,4,2.3,0.7,0.7,0.30,0.90,no,0,0,0
CPNE7,NW_005054373.1:2569958-2578379,6,9,2.9,-0.6,0.6,0.31,0.91,no,0,0,0
LOC115948728,NW_005054491.1:682817-682923,5,6,2.5,-0.2,0.2,0.74,0.99,no,0,0,0
METTL21A,NW_005054298.1:24350260-24353370,2,5,1.8,-1.1,1.1,0.14,0.79,no,0,1,0
BPHL,NW_005054397.1:2877605-2897636,9,18,3.8,-1.1,1.1,0.07,0.66,no,1,1,0
GRB10,NW_005054464.1:649939-759218,5,9,2.8,-1.0,1.0,0.12,0.77,no,0,0,0
LOC102033468,NW_005054649.1:214923-215945,3,5,2.0,-1.0,1.0,0.16,0.80,no,0,0,0
LOC102037780,NW_005054360.1:1249468-1273435,25,24,4.6,0.1,0.1,0.90,1.00,no,2,0,0
LOC102045112,NW_005054904.1:18185-22076,1,1,0.0,0.6,0.6,0.65,0.98,no,0,0,0
MYH10,NW_005054457.1:669298-752845,10,9,3.2,0.1,0.1,0.93,1.00,no,1,0,0
ADAM11,NW_005054518.1:344373-358820,14,11,3.6,0.4,0.4,0.52,0.97,no,2,0,0
LOC115949214,NW_005055088.1:14930-23848,5,5,2.3,0.0,0.0,0.98,1.00,no,0,0,0
PRR5L,NW_005054312.1:7120410-7149242,21,25,4.5,-0.2,0.2,0.67,0.98,no,2,0,0
SPATA6,NW_005054347.1:5345804-5376833,7,5,2.6,0.4,0.4,0.57,0.98,no,0,0,0
WNT9A,NW_005054466.1:4642-24380,0,0,-3.3,0.0,0.0,0.86,NA,no,0,0,0
AQP1,NW_005054367.1:336119-354685,6,10,3.0,-0.9,0.9,0.13,0.77,no,1,0,0
LOC106631917,NW_005054387.1:789603-792190,33,26,4.9,0.4,0.4,0.45,0.95,no,2,0,0
LOC115949247,NW_005055223.1:13180-16865,21,24,4.5,-0.2,0.2,0.67,0.98,no,2,0,0
RBBP8,NW_005054305.1:2327679-2361842,27,23,4.6,0.3,0.3,0.62,0.98,no,2,0,0
RETSAT,NW_005054674.1:50088-55381,136,185,7.3,-0.4,0.4,0.26,0.88,no,2,0,0
SMPDL3B,NW_005054499.1:639798-646650,39,58,5.6,-0.6,0.6,0.15,0.80,no,2,0,0
TSPAN18,NW_005054312.1:4184300-4304382,2,2,1.0,0.3,0.3,0.77,0.99,no,0,0,0
WDR34,NW_005054329.1:5581379-5587584,2,3,1.3,-0.5,0.5,0.57,0.98,no,0,0,0
LOC102035395,NW_005054351.1:923941-1120061,16,9,3.6,0.9,0.9,0.16,0.80,no,1,0,0
FAM151B,NW_005054431.1:1962145-1970090,31,29,4.9,0.1,0.1,0.87,1.00,no,2,0,0
LOC102044425,NW_005054504.1:86743-104324,75,75,6.2,0.0,0.0,1.00,1.00,no,2,0,0
MYO3A,NW_005054360.1:958768-1075089,1,1,0.0,1.0,1.0,0.57,0.98,no,0,0,0
DPYSL3,NW_005054308.1:12356417-12371031,3,4,1.8,-0.4,0.4,0.59,0.98,no,0,0,0
HSBP1L1,NW_005054325.1:658102-661023,10,12,3.5,-0.3,0.3,0.62,0.98,no,2,0,0
SH2D4B,NW_005054300.1:17074912-17132202,0,0,-3.3,0.0,0.0,0.79,NA,no,0,0,0
ATR,NW_005054371.1:2876356-2914016,9,7,3.0,0.4,0.4,0.60,0.98,no,0,0,0
GPR132,NW_005054303.1:8616619-8617721,99,83,6.5,0.2,0.2,0.59,0.98,no,2,0,0
LOC102038345,NW_005054401.1:1658673-1683799,252,227,7.9,0.1,0.1,0.73,0.98,no,2,0,0
