Order,Page ,Date ,island,Location,Species,band,Recap,Colors,Sex,Plumage,CP/BP,Bill Length,Bill Depth,Bill Width,Tarsus,Wing Chord,Mass,Nest ID ,Parent,Blood,Plasma,Slide ,Sperm,Park Blood,Trizol Blood,Molt,POX,HCT 1 ,HCT 2 ,HMCT %,Notes
256,23,3/19/2016,santa cruz,Gondor,FOR,SH1292,0,,U,0,CP0/BP0,11.30,10.94,9.09,19.88,64.5,18.8,,0,1,1,0,0,1,0,1,U,,,,"molting, measured AS"
257,23,3/19/2016,santa cruz,Gondor,FOR,KGSK2067,0,OSYPu,M,1,,12.26,11.14,9.47,23.34,69.0,22.8,,0,1,1,1,0,0,0,1,,,,,"head and wing molt, measured KG"
258,23,3/19/2016,santa cruz,Gondor,FOR,SH1293,0,,U,0,BP0/CP0,11.12,10.62,8.36,20.29,66.5,18.0,,0,1,1,1,0,1,0,0,U,,,,measured AS
259,23,3/19/2016,santa cruz,Gondor,FUL,KGSK057,0,SROO,F,0,BP0,8.33,7.11,7.09,18.07,59.0,12.5,,0,1,1,0,0,0,0,1,U,,,,"molting, measured KG"
260,23,3/19/2016,santa cruz,Gondor,FOR,SH1294,0,,U,0,BP0/CP0,11.16,11.21,8.99,18.96,65.0,19.0,,0,1,1,1,0,1,0,1,U,,,,"molting, measured AS"
261,23,3/19/2016,santa cruz,Gondor,PAR,KGSK058,0,GSPiW,M,,CP0,7.95,6.80,6.59,18.29,61.0,13.0,,0,1,1,0,0,0,0,1,,,,,"measured KG, molting head and body"
262,23,3/19/2016,santa cruz,Gondor,CRA,SH1295,0,,M,,CP2,10.70,11.19,9.27,26.66,76.0,28.6,,0,1,1,0,0,1,0,0,R,,,,"loos like healing pox lesion pad of foot, measured AS"
263,23,3/19/2016,santa cruz,Gondor,FOR,SH1296,0,,M,1,CP1,12.40,12.58,10.30,22.09,74.0,22.3,,0,1,1,1,0,1,0,0,U,,,,measured AS
264,23,3/19/2016,santa cruz,Gondor,FOR,KGSK2068,0,RBkSW,M,4,CP0,12.31,9.43,9.40,21.43,69.0,20.7,,0,1,1,0,0,0,0,1,U,,,,"no molt, measured KG"
265,24,3/19/2016,santa cruz,Gondor,FOR,SH1297,0,,M,3,CP1,13.17,13.06,10.76,21.54,73.0,22.9,,0,1,1,1,0,1,0,0,U,,,,measured AS
266,24,3/19/2016,santa cruz,Gondor,FOR,KGSK2069,0,BkWBlS,M,3,CP0,11.76,10.76,9.99,21.85,70.0,21.7,,0,1,1,0,0,0,0,1,U,,,,"measured KG, wing molt"
267,24,3/19/2016,santa cruz,Gondor,FOR,SH1298,0,,M,3,CP0,12.08,12.37,10.00,21.05,71.0,22.0,,0,1,1,1,0,1,0,0,U,,,,measured AS
268,24,3/19/2016,santa cruz,Gondor,FOR,KGSK2070,0,YOSPu,M,1,CP0,10.82,11.08,9.59,21.74,69.0,21.0,,0,1,1,0,0,0,0,1,U,,,,"Measured KG, molt: head, body, wing"
269,24,3/19/2016,santa cruz,Gondor,FOR,SH1299,0,,M,1,CP0,11.62,12.13,10.52,21.71,70.0,21.0,,0,1,1,1,0,1,0,1,R,,,,"Measured AS, missing nail, molt: p8r, head, body"
270,24,3/19/2016,santa cruz,Gondor,FOR,KGSK2071,0,GBkBlS,F,0,BP0,10.40,10.52,8.76,20.55,67.0,18.0,,0,1,1,0,0,0,0,1,R,,,,"measured KG, molt: head, tail, wing, missing toe"
271,24,3/19/2016,santa cruz,Gondor,FOR,SH1300,0,,M,1,CP0/BP0,10.92,11.14,8.96,19.20,64.0,18.3,,0,1,1,1,0,1,0,0,R,,,,"Measured AS, missing toe"
272,24,3/19/2016,santa cruz,Gondor,FOR,KGSK2072,0,OSRPu,M,1,CP0,11.60,9.96,8.97,21.12,66.0,20.6,,0,1,1,1,0,0,0,1,I,,,,"Measured KG, molt: head, tail, wing"
273,24,3/19/2016,santa cruz,Gondor,FOR,KGSK2073,0,YGWS,M,1,CP1,11.66,10.92,10.35,22.95,66.0,21.0,,0,1,1,1,0,0,0,1,U,,,,"Measured KG< molt: tail, wing, head"
274,24,3/19/2016,santa cruz,Gondor,FOR,KGSK2074,0,ROSG,U,0,BP0/CP0,11.48,10.05,9.82,20.46,65.0,18.4,,0,1,1,0,0,0,0,1,U,,,,"Measured KG, molting head"
275,24,3/19/2016,santa cruz,Gondor,FOR,KGSK059,0,OPuGyS,F,,BP0,8.79,6.28,7.22,19.57,59.0,13.1,,0,0,0,0,0,0,0,1,I,,,,no blood saved
276,24,3/19/2016,santa cruz,Gondor,MAG,KGSK2075,0,,M,4,CP0,15.51,16.05,14.87,21.78,78.0,31.3,,0,1,1,1,0,0,0,1,U,,,,"head/wing molt, measured KG"
277,25,3/21/2016,santa cruz,CRDS,GAMO,DC728,0,,U,,,13.14,,,34.42,104.5,42.5,,0,1,1,1,0,1,0,0,I,,,,"Fledgling 2016, lesion collected, multiple pox lesions on tarsi and feet, tarsus measurement may be off bc pox"
278,25,3/21/2016,santa cruz,CRDS,FUL,SH815,0,,F,0,BP5,8.97,7.34,6.28,18.51,76.0,12.9,,0,1,1,1,0,1,0,0,R,,,,"Missing eye, 2 toenails, molt: body, tail head"
279,25,3/21/2016,santa cruz,CRDS,CRA,SH1301,0,,U,0,BP0/CP0,10.30,10.80,8.84,24.87,80.0,29.5,,0,1,1,1,0,1,0,1,U,,,,no molt
280,25,3/21/2016,santa cruz,CRDS,FOR,SH1302,0,,U,0,BP0/CP0,11.19,11.83,9.46,19.82,65.0,18.8,,0,1,1,1,0,1,0,1,R,,,,"missing toenails, molt: body, tail wing"
281,25,3/21/2016,santa cruz,CRDS,SCA,SH1302,0,,M,0,CP1,14.18,8.47,8.00,22.46,68.0,19.0,,0,1,1,1,0,1,0,1,U,,,,molt: head/body
282,25,3/21/2016,santa cruz,CRDS,FOR,SH1304,0,,M,5,CP0,11.34,11.09,9.31,21.09,69.5,19.9,,0,1,1,1,0,1,0,1,R,,,,"molt: body, missing nail"
283,25,3/21/2016,santa cruz,CRDS,FOR,SH1305,0,,U,0,BP0/CP0,11.45,10.01,8.33,20.22,65.5,18.1,,0,1,1,0,0,1,0,1,U,,,,"molt: body, tail, head, broken digit"
284,25,3/21/2016,santa cruz,CRDS,PAR,SH816,0,,M,0,CP2,7.20,7.24,6.19,18.43,60.0,11.9,,0,1,1,1,0,1,0,1,R,,,,"enlarged nares, molt: body and wing, missing digit"
285,25,3/21/2016,santa cruz,CRDS,SCA,SH1306,0,,U,0,BP0/CP0,14.36,8.26,7.64,21.78,68.0,19.2,,0,1,1,1,0,1,0,1,U,,,,molt: body and head
286,25,3/21/2016,santa cruz,CRDS,FUL,SH817,0,,M,1,CP0,7.80,7.24,6.52,17.89,59.5,12.4,,0,1,1,1,0,1,0,1,R,,,,"molt: wing, body, missing hallux"
287,25,3/21/2016,santa cruz,CRDS,PAR,SH818,0,,U,,BP0/CP0,7.52,6.55,5.87,19.80,61.5,11.6,,0,1,1,1,0,1,0,1,U,,,,"molt: p1-3s, body, tail"
288,25,3/21/2016,santa cruz,CRDS,CRA,SH1307,0,,U,0,BP0/CP0,10.52,12.02,9.23,23.93,83.0,30.0,,0,1,1,1,0,1,0,1,U,,,,molt: wing
289,26,3/21/2016,santa cruz,CRDS,FUL,SH819,0,,M,5,BP0/CP0,8.50,8.21,6.78,18.10,64.5,14.1,,0,1,1,1,0,1,0,1,U,,,,"molt: p8-9s, head"
290,26,3/21/2016,santa cruz,CRDS,FOR,SH1308,0,,U,0,BP0/CP0,10.81,10.99,8.79,20.61,66.0,18.1,,0,1,1,0,0,1,0,1,U,,,,molt: some back and head
291,26,3/21/2016,santa cruz,CRDS,FOR,,0,,M,5,CP1,12.65,11.75,9.27,23.74,70.0,22.8,,0,1,1,0,0,1,0,1,U,,,,"no band, molt: p4R, body head and tail"
292,26,3/21/2016,santa cruz,CRDS,FUL,SH820,0,,M,3,CP0,9.00,7.75,7.29,20.66,64.0,15.1,,0,1,1,0,0,1,0,1,U,,,,"molt: head, body, p6-7L"
293,26,3/21/2016,santa cruz,CRDS,FUL,SH812,0,,M,2,,8.16,7.75,6.82,18.39,62.0,13.3,,0,1,1,1,0,1,0,1,U,,,,"molt: body, wing, head"
294,26,3/21/2016,santa cruz,CRDS,CRA,SH1310,0,,U,,BP0/CP0,9.83,11.18,9.63,26.93,78.0,29.0,,0,1,1,0,0,1,0,1,I,,,,molt: head
295,26,3/21/2016,santa cruz,CRDS,PAR,SH822,0,,M,,CP1,7.36,6.94,6.56,19.58,63.0,11.8,,0,1,1,1,0,1,0,1,U,,,,Molt: none
296,26,3/21/2016,santa cruz,CRDS,CRA,SH1312,0,,M,,CP1,10.75,11.83,9.68,27.78,84.0,33.2,,0,1,1,1,0,1,0,1,R,,,,"missing toe, not molting"
297,26,3/21/2016,santa cruz,CRDS,CRA,SH1311,0,,M,,BP0/CP1,11.04,11.52,9.70,26.41,83.0,33.6,,0,1,1,0,0,1,0,1,U,,,,"molt: p8-9R, p9L, body"
298,26,3/21/2016,santa cruz,CRDS,CRA,SH1313,0,,M,,CP0,10.58,11.72,9.22,25.81,85.8,31.3,,0,1,1,1,0,1,0,1,R,,,,"no molt, missing nail"
299,26,3/21/2016,santa cruz,CRDS,CRA,SH1314,0,,M,,CP1,17.99,12.80,9.71,26.77,81.0,33.8,,0,1,1,0,0,1,0,1,U,,,,"molt: p7s, body, deformed nail, weird bill, excessively large maxila, no ectos visible on wings"
300,26,3/21/2016,santa cruz,CRDS,CRA,SH1316,0,,M,,CP1,10.72,11.40,9.90,25.76,82.5,32.3,,0,1,1,1,0,1,0,1,I,,,,molt: body+head
301,27,3/21/2016,santa cruz,CRDS,CRA,SH1315,0,,F,,BP1,10.68,11.33,10.06,26.81,81.5,34.3,,0,1,1,1,0,1,0,1,I,,,,No molt
302,27,3/21/2016,santa cruz,CRDS,PAR,SH823,0,,U,,CP0/BP0,8.29,6.73,5.82,20.72,56.0,11.5,,0,1,1,0,0,1,0,1,U,,,,"molt: p9-8s, head and tail"
303,27,3/21/2016,santa cruz,CRDS,CRA,SH1317,0,,M,,CP0,10.40,10.73,9.40,24.83,78.5,28.7,,0,1,1,1,0,1,0,1,U,,,,"molt: p9s, slight body"
304,27,3/21/2016,santa cruz,CRDS,CRA,SH1318,0,,U,,CP0/BP0,10.63,11.05,9.80,27.98,80.0,31.5,,0,1,1,0,0,1,0,1,R,,,,"molt: body, tail, head, tarsus scaly, potentially healing lesion on foot"
305,27,3/21/2016,santa cruz,CRDS,CRA,SH1320,0,,M,,CP2,10.01,11.25,9.74,25.91,80.5,31.5,,0,1,1,1,0,1,0,1,U,,,,molt: some body
306,27,3/21/2016,santa cruz,CRDS,CRA,SH1319,0,,M,,CP1,10.07,11.96,9.77,24.78,81.0,28.3,,0,1,1,0,0,1,0,1,U,,,,no molt
307,27,3/21/2016,santa cruz,CRDS,CRA,SH1322,0,,U,,BP0/CP0,9.64,11.03,9.24,25.50,79.5,28.6,,0,1,1,1,0,1,0,1,I,,,,"slight body molt, pox "
308,27,3/21/2016,santa cruz,CRDS,CRA,SH1321,0,,M,,CP2,10.70,11.69,9.73,24.20,84.0,31.2,,0,1,1,1,0,1,0,1,R,,,,"no molt, missing nail"
309,27,3/21/2016,santa cruz,CRDS,CRA,SH1323,0,,M,,CP0/BP0,9.59,11.58,9.56,25.27,83.5,32.1,,0,1,1,1,0,1,0,1,U,,,,"slight body molt, coudy left eye"
310,27,3/21/2016,santa cruz,CRDS,CRA,SH1324,0,,M,,CP1,11.12,11.31,9.99,25.56,85.0,32.2,,0,1,1,1,0,1,0,1,U,,,,no molt
311,27,3/22/2016,santa cruz,Boardwalk,FUL,SH824,0,,U,,CP0/BP0,8.68,8.26,7.01,18.55,64.5,13.4,,0,1,1,1,0,1,0,1,I,,,,"lealing leasion, molt: s2-3L "
312,27,3/22/2016,santa cruz,Boardwalk,FUL,SH825,0,,M,,,8.31,7.11,6.93,20.16,62.5,13.6,,0,1,1,1,0,1,0,1,R,,,,"molt: P3r, missing hallux"
313,28,3/22/2016,santa cruz,Boardwalk,CRA,SH1325,0,,M,,CP0,9.95,10.31,9.55,25.12,79.5,30.0,,0,1,1,0,0,1,0,1,R,,,,"Missing hallux r and nail left, no molt"
314,28,3/22/2016,santa cruz,Boardwalk,SCA,SH1326,0,,U,0,BP0/CP0,13.68,9.71,8.19,20.95,70.5,20.1,,0,1,1,1,0,1,0,1,R,,,,"missing part of toe, wing molt, head molt, body molt"
315,28,3/22/2016,santa cruz,Boardwalk,CRA,SH1327,0,,M,,CP1,9.94,11.62,9.59,24.76,78.0,30.0,,0,1,1,1,0,1,0,1,U,,,,body molt
316,28,3/22/2016,santa cruz,Boardwalk,FUL,SH826,0,,U,0,BP0/CP0,8.85,8.24,6.35,18.98,62.5,13.8,,0,1,1,0,0,1,0,1,U,,,,molt: head and p6s
317,28,3/22/2016,santa cruz,Boardwalk,FOR,SH1328,0,,F,0,BP1/CP0,12.90,12.81,10.73,21.06,69.5,22.2,,0,1,1,0,0,1,0,1,U,,,,head molt
318,28,3/22/2016,santa cruz,Boardwalk,FOR,SH1330,0,,U,0,BP0/CP0,12.77,12.92,11.74,24.77,73.0,23.4,,0,1,1,1,0,1,0,1,R,,,,"molt: head, body, p9R, p5L, healing pox lesion probable "
319,28,3/22/2016,santa cruz,Boardwalk,CRA,SH1329,0,,U,0,BP0/CP0,10.95,10.78,9.74,26.48,80.0,30.7,,0,1,1,0,0,1,0,1,U,,,,molt: body and head
320,28,3/22/2016,santa cruz,Boardwalk,FUL,SH827,0,,M,4,BP0/CP0,8.63,8.47,6.86,17.07,62.0,13.6,,0,1,1,1,0,1,0,1,U,,,,"molt: wing, body, tail "
321,28,3/22/2016,santa cruz,Boardwalk,FUL,SH828,0,,M,1,BP0/CP0,8.07,6.85,6.60,19.48,61.5,13.7,,0,1,1,0,0,1,0,1,U,,,,no molt
322,28,3/22/2016,santa cruz,Boardwalk,FOR,SH1332,0,,M,4,BP0/CP0,11.54,11.74,9.27,19.80,67.0,18.4,,0,1,1,1,0,1,0,1,U,,,,"molt: body, head, tail, p7-9s"
323,28,3/22/2016,santa cruz,Boardwalk,FUL,SH829,0,,M,4,BP0/CP0,8.40,7.49,7.23,18.57,62.5,14.2,,0,1,1,1,0,1,0,1,U,,,,"molt: p6L, body, head"
324,28,3/22/2016,santa cruz,Boardwalk,FUL,SH831,0,,M,3,BP0/CP0,8.06,8.06,6.84,18.30,63.0,13.6,,0,1,1,0,0,1,0,1,U,,,,molt: covert/head
325,29,3/22/2016,santa cruz,Boardwalk,CRA,SH1331,0,,U,,BP0/CP0,10.05,10.76,9.11,26.66,75.5,26.5,,0,1,1,0,0,1,0,1,R,,,,"molt: body, s1R, P9L+body"
326,29,3/22/2016,santa cruz,Boardwalk,CRA,SH1333,0,,M,,CP0,11.05,11.07,9.52,28.70,84.0,30.7,,0,1,1,1,0,1,0,1,R,,,,"body molt, pox may be recent"
327,29,3/22/2016,santa cruz,Boardwalk,FOR,SH1335,0,,M,2,CP1,11.30,11.98,9.88,20.24,66.0,22.5,,0,1,1,1,0,1,0,1,R,,,,"molt: p9s, body"
328,29,3/22/2016,santa cruz,Boardwalk,FOR,SH1334,0,,U,0,BP0/CP0,10.96,10.19,8.92,21.61,67.5,19.5,,0,1,1,0,0,1,0,1,R,,,,"molt: body, p7-9r, p8-9L, missing toenail"
329,29,3/22/2016,santa cruz,Boardwalk,PAR,SH830,0,,U,,BP0/CP0,7.43,7.00,6.31,18.10,60.0,10.6,,0,1,1,0,0,1,0,1,U,,,,"molt: slight body and p9s, defored bill"
330,29,3/22/2016,santa cruz,Boardwalk,PAR,SH832,0,,U,,BP0/CP0,7.91,6.92,6.33,21.18,64.0,12.1,,0,1,1,1,0,1,0,1,R,,,,molt: body
331,29,3/22/2016,santa cruz,Boardwalk,FOR,SH1337,0,,M,4,CP2,12.12,11.96,9.74,20.74,67.0,21.0,,0,1,1,1,0,1,0,1,R,,,,"molt: wing, body, tail, missing nail"
332,29,3/22/2016,santa cruz,Boardwalk,FOR,SH1338,0,,U,0,BP1,11.67,10.66,9.50,22.17,66.0,20.4,,0,1,1,0,0,1,0,1,U,,,,"molt: p6L, P7R, body, tail head"
333,29,3/22/2016,santa cruz,Boardwalk,FUL,SH834,0,,M,5,CP0,8.24,7.46,6.83,18.01,62.5,15.6,,0,1,1,1,0,1,0,1,R,,,,"molt: body,  p8-9s"
334,29,3/22/2016,santa cruz,Boardwalk,FUL,SH833,0,,M,0,CP1,8.84,7.00,6.37,20.18,55.5,12.3,,0,1,1,1,0,1,0,1,U,,,,"eye swollen, molt: tail, body"
335,29,3/22/2016,santa cruz,Boardwalk,FOR,SH1336,0,,U,0,BP0/CP0,10.65,11.18,9.60,20.66,64.5,21.1,,0,1,1,0,0,1,0,1,U,,,,"molt: body, p8-9L"
336,29,3/22/2016,santa cruz,Boardwalk,FOR,SH1340,0,,U,0,BP0/CP0,12.17,11.08,8.94,22.33,68.5,19.4,,0,1,1,0,0,1,0,1,U,,,,"molt: coverts, and head"
337,30,3/22/2016,santa cruz,Boardwalk,CRA,SH1341,0,,U,,,9.71,12.05,9.55,27.86,82.0,31.0,,0,1,1,0,0,1,0,1,U,,,,"molt: S4R, S5L"
338,30,3/22/2016,santa cruz,Boardwalk,FOR,SH1339,0,,U,,BP0/CP0,12.47,12.78,10.79,20.00,69.0,23.0,,0,1,1,0,0,1,0,1,U,,,,molt: P6S
339,30,3/22/2016,santa cruz,Boardwalk,FOR,SH1392,0,,M,3,BP0/CP0,13.55,15.92,12.00,21.00,77.0,27.3,,0,1,1,1,0,1,0,1,U,,,,"molt: body, head, "
340,30,3/23/2016,santa cruz,Rohan,GAMO,DC644,1,SYYBl,U,,,14.75,,,35.29,101.0,43.3,,0,1,1,0,0,0,0,1,U,12.45,33.68,0.37,"fledgling, callus on leg, not pox M92-2016"
341,30,3/23/2016,santa cruz,Rohan,FOR,SH1343,0,,U,0,BP0/CP0,11.64,10.20,8.80,20.53,65.0,18.1,,0,0,0,0,0,0,0,1,U,,,,"no blood, bleeding from mouth"
342,30,3/23/2016,santa cruz,Rohan,FOR,SH1344,0,,M,5,CP2,14.62,13.93,12.10,24.57,75.0,26.6,,0,1,1,0,0,1,0,1,U,,,,no molt
343,30,3/23/2016,santa cruz,Rohan,FOR,SH1345,0,,M,4,CP0,11.50,12.24,10.21,20.96,70.0,21.3,,0,0,0,0,0,0,0,1,U,,,,"no blood, body molt"
344,30,3/23/2016,santa cruz,Rohan,FOR,SH1346,0,,U,0,BP0/CP0,11.84,11.45,9.66,20.31,70.0,20.5,,0,1,1,1,0,1,0,1,U,,,,"molt: body, head, p8-9L"
345,30,3/23/2016,santa cruz,Rohan,FOR,SH1347,0,,M,4,CP0,12.08,11.87,9.87,19.72,68.0,20.4,,0,1,1,1,0,1,0,1,R,,,,"missing toenail, healed leason on tarsus, scaly skin, molt: head, body tail"
346,30,3/23/2016,santa cruz,Rohan,FOR,SH1349,0,,U,0,BP0/CP0,10.92,10.29,8.94,18.32,65.5,17.4,,0,1,1,0,0,1,0,1,R,,,,"missing nail, molt: p4r"
347,30,3/23/2016,santa cruz,Rohan,FOR,SH1348,0,,U,0,BP0/CP0,11.29,11.66,9.03,19.84,76.5,17.2,,0,1,1,1,0,1,0,1,U,,,,no molt
348,30,3/23/2016,santa cruz,Rohan,FOR,SH1351,0,,U,0,,12.54,11.31,10.17,20.97,66.5,19.0,,0,1,1,1,0,1,0,1,U,,,,no molt
349,31,3/23/2016,santa cruz,Rohan,FOR,SH1350,0,,M,3,CP0,12.53,14.13,11.10,22.12,73.0,21.9,,0,0,0,0,0,0,0,1,U,,,,"no blood, molt: body and head"
350,31,3/23/2016,santa cruz,Rohan,FOR,SH1352,0,,U,0,BP0/CP0,11.70,10.47,8.57,19.74,67.5,18.9,,0,1,1,1,0,1,0,1,U,,,,molt; body
351,31,3/23/2016,santa cruz,Rohan,CRA,SH1353,0,,M,,,10.89,12.35,9.99,26.20,82.0,33.1,,0,1,1,1,0,1,0,1,U,,,,"molt: p9-8s, s4-5l"
352,31,3/23/2016,santa cruz,Rohan,FOR,SH1354,0,,M,3,CP0,12.04,11.59,10.15,21.58,69.5,19.8,,0,1,1,1,0,1,0,1,R,,,,"nail deformed, no molt"
353,31,3/23/2016,santa cruz,Rohan,PAR,SH835,0,,U,,BP0/CP0,7.11,7.17,6.23,19.19,60.0,11.8,,0,1,1,1,0,1,0,1,U,,,,body molt
354,31,3/23/2016,santa cruz,Rohan,FOR,SH1355,0,,F,0,BP1,12.93,13.74,11.91,22.18,76.0,25.6,,0,1,1,1,0,1,0,1,U,,,,no molt
355,31,3/23/2016,santa cruz,Rohan,PAR,SH837,0,,U,,BP0/CP0,7.62,7.19,6.08,19.86,61.0,11.6,,0,1,1,1,0,1,0,1,U,,,,molt: p9-8s
356,31,3/23/2016,santa cruz,Rohan,FOR,SH1356,0,,M,1,,11.94,11.40,10.00,20.72,68.5,20.2,,0,1,1,1,0,1,0,1,U,,,,molt: body and secondaries
357,31,3/23/2016,santa cruz,Rohan,FOR,SH1357,0,,M,5,CP1,13.10,13.28,10.29,22.47,75.5,23.7,,0,1,1,0,0,1,0,1,U,,,,"molt: tail, head, coverts, p5-6r, s1l, body"
358,31,3/24/2016,santa cruz,CRDS,PAR,SH838,0,GyGyRS,U,,BP0/CP0,8.05,7.60,6.46,21.91,64.5,12.7,,0,1,1,0,0,0,0,1,U,,,,"molt: wing coverts, tail, head, p8r, p9l"
359,31,3/24/2016,santa cruz,CRDS,FUL,SH839,0,OSBkR,M,2,CP0,8.51,8.44,7.38,20.95,62.5,13.6,,0,1,1,0,0,1,0,1,U,,,,tail molt
360,31,3/24/2016,santa cruz,CRDS,FOR,SH1359,0,SGBlBk,M,1,CP0,11.19,10.61,8.89,20.94,67.0,13.3,,0,1,1,0,0,1,0,1,U,,,,"molt: body, wing, coverts head"
361,32,3/24/2016,santa cruz,CRDS,FUL,SH840,0,0SRPu,U,0,BP0/CP0,8.14,6.77,6.42,20.06,61.5,13.7,,0,1,1,0,0,1,0,1,U,,,,"molt: head, body tail"
362,32,3/24/2016,santa cruz,CRDS,FUL,SH841,0,ORPiS,M,3,CP0,8.66,7.54,6.75,19.81,59.5,14.5,,0,1,1,0,0,1,0,1,R,,,,"molt: body, head, tail, wing coverts, missing toenail"
363,32,3/24/2016,santa cruz,CRDS,SCA,SH1360,0,YSGW,U,0,BP0/CP0,13.44,8.77,7.33,23.02,69.5,15.3,,0,1,1,1,0,1,0,1,I,,,,"pox on toes, tarsi, no molt"
364,32,3/24/2016,santa cruz,CRDS,SCA,SH1360,0,YPRS,M,5,CP1,13.86,10.29,8.34,22.31,76.5,22.2,,0,1,1,1,0,1,0,1,U,,,,"molt: body, tail, p6r, p5L"
365,32,3/24/2016,santa cruz,CRDS,FUL,SH842,0,PRSR,F,0,,8.30,7.47,6.81,18.11,58.5,12.0,,0,1,1,0,0,1,0,1,I,,,,"body molt, p8-9L "
366,32,3/24/2016,santa cruz,CRDS,PAR,SH843,0,PiSRO,U,,BP0/CP0,7.75,7.07,6.43,20.01,60.5,11.9,,0,1,1,,0,1,0,1,U,,,,"molt: wing, body, head"
367,32,3/24/2016,santa cruz,CRDS,FOR,SH1363,0,SgyBlY,M,4,CP0,10.76,10.29,9.46,20.18,71.0,20.3,,0,1,1,1,0,1,0,1,I,,,,"molt: wing, body, head, tail, p6L"
368,32,3/24/2016,santa cruz,CRDS,FOR,SH1362,0,BkPBlS,M,4,CP0,11.90,11.82,9.88,21.79,68.5,23.1,,0,1,1,1,0,1,0,1,U,,,,"molt: body, head"
369,32,3/24/2016,santa cruz,CRDS,SCA,SH1364,0,WYRS,M,3,CP0,14.30,9.21,8.45,21.18,68.0,21.5,,0,1,1,1,0,1,0,1,U,,,,molt: body
370,32,3/24/2016,santa cruz,CRDS,FOR,SH1365,0,RSGyBl,U,0,BP0/CP0,11.48,10.71,8.62,20.90,65.5,18.6,,0,1,1,0,0,1,0,1,U,,,,"molt; body, head, P7-9r"
371,32,3/24/2016,santa cruz,CRDS,CRA,SH1358,0,PSGR,F,,BP1,10.09,11.24,9.08,24.30,80.5,27.9,,0,1,1,1,0,1,0,1,U,,,,"molt: body, p8-9s"
372,32,3/24/2016,santa cruz,CRDS,CRA,SH1366,0,GSBkP,U,,BP0/CP0,10.26,11.05,9.12,26.01,84.0,29.4,,0,1,1,1,0,1,0,1,U,,,,molt: head
373,33,3/24/2016,santa cruz,CRDS,CRA,SH1368,0,YSPP,U,,BP0/CP0,10.57,12.42,9.51,24.83,79.0,28.1,,0,1,1,1,0,1,0,1,U,,,,no molt
374,33,3/24/2016,santa cruz,CRDS,FOR,SH1367,0,BlRGyS,U,0,BP0/CP0,11.71,13.66,10.59,21.59,68.0,21.1,,0,1,1,1,0,1,0,1,U,,,,molt: tail
375,33,3/24/2016,santa cruz,CRDS,FUL,SH844,0,PSBkP,M,3,CP0,7.03,7.58,6.43,17.61,62.5,11.5,,0,1,1,1,0,1,0,1,R,,,,"molt: body, head, p8-9s, missing nail"
376,33,3/24/2016,santa cruz,CRDS,FOR,SH1369,0,BSGyBk,M,0,CP1,10.71,10.75,8.89,19.94,63.0,17.6,,0,1,1,0,0,1,0,1,U,,,,"molt: head, "
377,33,3/24/2016,santa cruz,CRDS,FUL,JP751,1,PiSBkG,M,4,CP0,7.48,7.44,6.61,17.10,62.0,12.1,,0,1,1,0,0,1,0,1,U,,,,"molt: p8r,p7l, body, head, two bands (pi and bk) added"
378,33,3/24/2016,santa cruz,CRDS,CRA,SH1370,0,RSBlG,M,,CP2,10.36,11.65,10.00,26.36,83.0,30.2,,0,1,1,1,0,1,0,1,U,,,,molt: p8-9s
379,33,3/24/2016,santa cruz,CRDS,CRA,SH1371,0,BkSYR,M,,BP0/CP0,10.46,12.13,9.79,26.29,82.5,31.9,,0,1,1,0,0,1,0,1,R,,,,"molt: slight body, p9s, recovered pox, missing end of toe"
380,34,3/25/2016,santa cruz,Beach,CRA,SH1372,0,,U,,BP0/CP0,9.91,10.9,9.8,27.7,81,30.9,,0,1,1,0,0,1,0,1,R,,,,no molt
381,34,3/25/2016,santa cruz,Beach,FOR,SH1373,0,,U,0,BP0/CP0,10.83,9.37,8.4,20.59,65,18.2,,0,1,1,0,0,1,0,1,R,,,,no molt
382,34,3/25/2016,santa cruz,Beach,FUL,SH845,0,,U,0,BP0/CP0,7.58,7.89,6.38,17.12,58,12.4,,0,1,1,1,0,1,0,1,I,,,,"molt: p9s, p7-8l, body, head, active leasions, missing two toenails"
383,34,3/25/2016,santa cruz,Beach,GAMO,DC708,1,GyBlSY,U,,,14.52,,,33.55,100,42.8,,0,1,1,1,0,1,0,1,U,,,,"59 fledling, 2016, slightly enlarged nares "
384,34,3/25/2016,santa cruz,Beach,FOR,SH1374,0,,M,2,CP2,10.82,10.95,9.46,21.19,67.5,20.3,,0,1,1,1,0,1,0,1,R,,,,"missing nail, molt: p5s"
385,34,3/25/2016,santa cruz,Beach,FOR,SH1375,0,,U,0,BP0/CP0,10.92,11.15,8.94,20.8,65,17.1,,0,1,1,1,0,1,0,1,R,,,,"missing toenail, head molt"
386,34,3/25/2016,santa cruz,Beach,FUL,SH846,0,,F,0,BP1,8.39,7.15,6.2,17.61,59.5,13.2,,0,1,1,1,0,1,0,1,R,,,,"missing 1 nail and 1 toe, recent pox, body, head molt"
387,34,3/25/2016,santa cruz,Beach,FUL,SH847,0,,U,0,BP0/CP0,7.89,6.96,6.69,18.94,61.5,14.7,,0,1,1,0,0,1,0,1,R,,,,"missing toenail, molt: body, head, tail p8-7L, p8R"
